section,sub_section,section_name,subsection_name,subsubsection_name,resource_name,link,  description,scope,,doi
2,1,Study inception and planning,Study Preparation and Piloting,n/a,protocols.io,https://www.protocols.io,  Platform for sharing protocols,General,Yes,
2,1,Study inception and planning,Study Preparation and Piloting,n/a,Protocol exchange,https://protocolexchange.researchsquare.com,  Repository for sharing protocols sponsored by Nature Portfolio,General,Yes,
2,1,Study inception and planning,Study Preparation and Piloting,n/a,Nature protocols,https://www.nature.com/nprot,  Journal to publish secondary research articles - predominantly Protocols,General,Yes,
2,1,Study inception and planning,Study Preparation and Piloting,n/a,Example SOP for MRI,https://osf.io/6r9f8,  Example SOP for MRI,MRI,No,
2,1,Study inception and planning,Study Preparation and Piloting,n/a,Example SOP for EEG,https://protocolexchange.researchsquare.com/article/pex-779/v2,  Farrens et al. EEG Recording Protocol for Cognitive and Affective Human Neuroscience Research,EEG,No,https://doi.org/10.21203/rs.2.18328/v2
2,1,Study inception and planning,Study Preparation and Piloting,n/a,SOP of the HCP for MRI,https://www.humanconnectome.org/storage/app/media/documentation/data_release/Q1_Release_Appendix_IV.pdf,  Example SOP of the HumanConnectomeProject for MRI,MRI,No,
2,1,Study inception and planning,Study Preparation and Piloting,n/a,SOP of the HCP for MEG,https://www.humanconnectome.org/storage/app/media/documentation/meg1/HCP_MEG1_Release_Appendix_II.pdf,  Example SOP of the HumanConnectomeProject for MEG,MEG,No,
2,1,Study inception and planning,Study Preparation and Piloting,n/a,BrainVerse,https://github.com/repronim/brainverse,"  Desktop application for reproducible practices (electronic lab notebook, semantic annotation, etc)",,,
2,1,Study inception and planning,Study Preparation and Piloting,n/a,Hitchhackers,https://learn-neuroimaging.github.io/hitchhackers_guide_brain,  Guide with links and resources for neuro-needs,General,No,
2,1,Study inception and planning,Study Preparation and Piloting,n/a,BrainPower,https://brainpower.readthedocs.io/en/latest,  Power analysis in neuroimaging,General,No,
2,2,Study inception and planning,Pre-registration,n/a,OSF prepregistration,https://osf.io/registries,  OSF preregistration platform including templates and forms for different types of preregistration,General,Yes,
2,2,Study inception and planning,Pre-registration,n/a,Aspredicted.org,https://aspredicted.org/,  A simplified form for pre-registration,General,Yes,
2,2,Study inception and planning,Pre-registration,n/a,Clinicaltrials.gov,https://clinicaltrials.gov/,  Pre-registration of clinical trials (NIH requires a pre-registration for clinical trials),General,Yes,
2,2,Study inception and planning,Pre-registration,n/a,Center for Open Science (Preregistration),https://www.cos.io/initiatives/prereg,  General information about pre-registration,General,No,
2,2,Study inception and planning,Pre-registration,n/a,Center for Open Science (Registered Reports),https://www.cos.io/initiatives/registered-reports,  General information about registered reports,General,No,
2,2,Study inception and planning,Pre-registration,n/a,Tips for pre-registrations (from OHBM),https://www.ohbmbrainmappingblog.com/blog/pre-registration-in-neuroimaging-10-tips-to-make-your-life-easier,  A blog post sponsered by OHBM with tips for pre-registration,General,,
2,2,Study inception and planning,Pre-registration,n/a,fmri-prereg,https://github.com/jessicaflannery/fmri-prereg,  Pre-registration template for fMRI studies. Extended OSF template. ,fMRI,No,
2,2,Study inception and planning,Pre-registration,n/a,EEG ERP Preregistration Template,https://docs.google.com/document/d/1RmlHcWJcWMErZzjJgz9Q0rqsy-E9Vs9DYeKdvX9cawU,  EEG ERP Preregistration Template,EEG,No,https://doi.org/10.31222/osf.io/4nvpt
2,2,Study inception and planning,Pre-registration,n/a,List of pre-registration examples,https://docs.google.com/spreadsheets/d/1_R3UBKvT4vEDOAPXxR8W98QGvZMhpuyxlvYzIGekf0w/edit#gid=1351240212,  List of neuroimaging and electrophysiology pre-registrations,General,No,
2,2,Study inception and planning,Pre-registration,n/a,Examples of preregistered M/EEG studies,http://mnemai.org/eeg-meg-preregistration/,  EEG/MEG articles with (some form of) preregistration by Natalie Schaworonkow,M/EEG,No,
2,3,Study inception and planning,Ethical review and data sharing plan,n/a,Open Brain Consent,https://open-brain-consent.readthedocs.io/,  Examples to prepare consent forms including a EU GDPR-compliant template (multiple languages),General,Yes,https://doi.org/10.5281/zenodo.4264941
2,3,Study inception and planning,Ethical review and data sharing plan,n/a,TTW: Guide for Ethical Research,https://the-turing-way.netlify.app/ethical-research,  The Turing Way - Guide for Ethical Research covers topics related to ethical aspects in data science,General,No,https://doi.org/10.5281/zenodo.3233986
2,4,Study inception and planning,Looking at the data early and ofter: Monitoring quality,n/a,MRIQC,https://mriqc.readthedocs.io/en/latest/,  Data quality control software for MRI,MRI,Yes,https://doi.org/10.1371/journal.pone.0184661
2,4,Study inception and planning,Looking at the data early and ofter: Monitoring quality,n/a,qoala-T,https://qoala-t.shinyapps.io/qoala-t_app/,  Quality control of FreeSurfer segmented MRI data,MRI,No,https://doi.org/10.5281/zenodo.4575464
2,4,Study inception and planning,Looking at the data early and ofter: Monitoring quality,n/a,visual QC,https://raamana.github.io/visualqc/readme.html,  Assistive tool to improve the quality control workflow of MRI/fMRI/dMRI data,MRI,No,https://doi.org/10.5281/zenodo.3266381
3,1,Data acquisition,Brain data acquisition and reconstruction,n/a,Open Source Imaging,https://www.opensourceimaging.org,  Open source soft- and hardware reserach and development projects around MRI,MRI,No,
3,1,Data acquisition,Brain data acquisition and reconstruction,n/a,MRhub,https://ismrm.github.io/mrhub/,  Index of open-source tools developed by the ISMRM community,MRI,No,
3,1,Data acquisition,Brain data acquisition and reconstruction,n/a,qmrLab,http://qmrlab.org/,  MATLAB/Octave open-source software for quantitative MR image analysis,MRI,No,https://doi.org/10.21105/joss.02343
3,1,Data acquisition,Brain data acquisition and reconstruction,n/a,Pulseq,https://pulseq.github.io/,  Open source framework for the development and execution of MR pulse sequences,MRI,Yes,
3,1,Data acquisition,Brain data acquisition and reconstruction,n/a,PyPulseq,https://github.com/imr-framework/pypulseq,  Python package for MRI pulse sequence design,MRI,Yes,https://doi.org/10.21105/joss.01725
3,1,Data acquisition,Brain data acquisition and reconstruction,n/a,GammaStar,https://gamma-star.mevis.fraunhofer.de/#/,  Portable and platform-independent MR pulse sequence programming framework,MRI,Yes,https://doi.org/10.1002/mrm.28020
3,1,Data acquisition,Brain data acquisition and reconstruction,n/a,TOPPE,https://www.opensourceimaging.org/project/toppe-rapid-mr-pulse-sequence-prototyping/,  Modular framework for rapid prototyping of pulse sequences on General Electric MRI scanners,MRI,Yes,
3,1,Data acquisition,Brain data acquisition and reconstruction,n/a,ODIN,http://od1n.sourceforge.net/,  C++ software framework to develop and simulate magnetic resonance sequences,MRI,Yes,https://doi.org/10.1016/j.jmr.2004.05.021
3,1,Data acquisition,Brain data acquisition and reconstruction,n/a,SequenceTree,https://github.com/magland/sequencetree4,  Pulse sequence programming in a dynamic visual environment,MRI,Yes,
3,1,Data acquisition,Brain data acquisition and reconstruction,n/a,ISMSM Raw data format,https://ismrmrd.github.io/apidocs/1.4.2/,  Standard for MRI raw datasets,MRI,Yes,https://doi.org/10.1002/mrm.26089
3,1,Data acquisition,Brain data acquisition and reconstruction,n/a,Gadgetron,http://gadgetron.github.io/,  Open source framework for medical image reconstruction,MRI,Yes,https://doi.org/10.1002/mrm.24389  https://doi.org/10.1002/mrm.25213 
3,1,Data acquisition,Brain data acquisition and reconstruction,n/a,BART,https://mrirecon.github.io/bart/,  Open source image-reconstruction framework for computational MRI,MRI,Yes,https://doi.org/10.5281/zenodo.4570601
3,1,Data acquisition,Brain data acquisition and reconstruction,n/a,MRIReco.jl,https://github.com/MagneticResonanceImaging/MRIReco.jl,  MRI reconstruction framework,MRI,Yes,https://doi.org/10.48550/arXiv.2101.12624
3,1,Data acquisition,Brain data acquisition and reconstruction,n/a,Vendor-neutral sequences (VENUS),https://github.com/qmrlab/venus,  Open-source pulse sequences integrated with qMRLab for reproducible quantitative imaging,MRI,No,
3,1,Data acquisition,Brain data acquisition and reconstruction,n/a,SigPy,https://sigpy.readthedocs.io/en/latest/,"  Package for signal processing, iterative methods, MRI reconstruction and MRI pulse design",MRI,No,https://doi.org/10.5281/zenodo.5893788
3,1,Data acquisition,Brain data acquisition and reconstruction,n/a,MRM Highlights,https://blog.ismrm.org/category/highlights/,  An MRI science communication platform endorsed by Magnetic Resonance in Medicine,MRI,No,
3,1,Data acquisition,Brain data acquisition and reconstruction,n/a,MNE-Python Maxwell filter,https://mne.tools/dev/generated/mne.preprocessing.maxwell_filter.html,  MNE-Python Maxwell filter implementation (equivalent to Elekta's propietary Maxfilter),MEG,Yes,
3,1,Data acquisition,Brain data acquisition and reconstruction,n/a,OpenBCI,https://openbci.com,  Initiative for open EEG hardware and tools for biosensing,EEG,Yes,
3,2,Data acquisition,Stimulus presentation and behaviour,n/a,Psychopy,https://www.psychopy.org/,  Python-based toolbox for stimulus presentation,General,Yes,https://10.3758/s13428-018-01193-y
3,2,Data acquisition,Stimulus presentation and behaviour,n/a,Psychtoolbox,http://psychtoolbox.org/,  MATLAB/Octave based toolbox for stimulus presentation,General,Yes,
3,2,Data acquisition,Stimulus presentation and behaviour,n/a,Pavlovia,https://pavlovia.org,  Already implemented task protocols,General,Yes,
3,2,Data acquisition,Stimulus presentation and behaviour,n/a,ReproStim,https://github.com/ReproNim/reprostim,  Video capture and recording suite for neuroimaging and psychology experiments,General,Yes,
3,2,Data acquisition,Stimulus presentation and behaviour,n/a,ERP CORE,https://erpinfo.org/erp-core,  Optimized paradigms for ERP components including scripts and data processing pipelines,EEG,Yes,https://doi.org/10.18115/D5JW4R
4,1,Research Data Management,Data standard: BIDS,n/a,BIDS,www.bids-standard.org,"  Community-driven standard for organizing, describing and sharing neuroimaging data",General,Yes,
4,1,Research Data Management,Data standard: BIDS,n/a,BIDS specification,https://bids-specification.readthedocs.io/en/stable/,  Specification with details for different neuroimaging modalities,General,Yes,
4,1,Research Data Management,Data standard: BIDS,n/a,BIDS validator,https://bids-standard.github.io/bids-validator/,  Validator to easily check whether a dataset meets the standard,General,Yes,
4,1,Research Data Management,Data standard: BIDS,n/a,BIDS starter kit,https://bids-standard.github.io/bids-starter-kit/,  Simplifies the learning process for newcomers,General,Yes,
4,1,Research Data Management,Data standard: BIDS,n/a,BIDS examples,https://github.com/bids-standard/bids-examples,  Example files following BIDS organization,General,No,
4,1,Research Data Management,Data standard: BIDS,BIDS converters,BIDS available converters,https://bids.neuroimaging.io/benefits.html#converters,  BIDS available converters for different modalities,General,No,
4,1,Research Data Management,Data standard: BIDS,BIDS converters,HeuDiConv,https://github.com/nipy/heudiconv,  BIDS converter for MRI data,MRI,Yes,https://doi.org/10.5281/zenodo.6544633
4,1,Research Data Management,Data standard: BIDS,BIDS converters,dcm2bids,https://github.com/UNFmontreal/Dcm2Bids,  BIDS converter for MRI data,MRI,Yes,https://doi.org/10.5281/zenodo.6658099
4,1,Research Data Management,Data standard: BIDS,BIDS converters,Data2Bids,https://github.com/SIMEXP/Data2Bids,  BIDS converter for MRI data,MRI,No,
4,1,Research Data Management,Data standard: BIDS,BIDS converters,ReproIn,https://zenodo.org/record/3625000#.Yk8fS27MJjQ,"  Generation of version-controlled BIDS datasets from MR scanners, using HeuDiConv and DataLad",MRI,Yes,https://doi.org/10.5281/zenodo.3625000
4,1,Research Data Management,Data standard: BIDS,BIDS converters,PET2BIDS,https://github.com/openneuropet/PET2BIDS,  BIDS converter for PET data,PET,No,
4,1,Research Data Management,Data standard: BIDS,BIDS converters,MNE-BIDS,https://mne.tools/mne-bids/stable/index.html,  BIDS converter for MEEG data as part of the MNE-Python software,"M/EEG,iEEG",Yes,https://doi.org/10.21105/joss.01896
4,1,Research Data Management,Data standard: BIDS,BIDS converters,Fieldtrip data2bids,https://www.fieldtriptoolbox.org/reference/data2bids/,  BIDS converter for MEEG data as part of the FieldTrip toolbox,M/EEG,No,
4,1,Research Data Management,Data standard: BIDS,BIDS converters,Brainstorm BIDS tools,https://neuroimage.usc.edu/brainstorm/ExportBids,  BIDS converter for MEEG data as part of the Brainstorm toolbox,M/EEG,No,
4,1,Research Data Management,Data standard: BIDS,BIDS converters,EEGLAB bids-matlab-tools,https://github.com/sccn/bids-matlab-tools,  BIDS converter for EEG data as part of the EEGLAB toolbox,EEG,No,
4,1,Research Data Management,Data standard: BIDS,Interaction with BIDS datasets,pyBIDS,https://github.com/bids-standard/pybids,  Python library centralizing interactions with datasets conforming BIDS,General,Yes,https://doi.org/10.5281/zenodo.6412479
4,1,Research Data Management,Data standard: BIDS,Interaction with BIDS datasets,BIDS-Matlab,https://github.com/bids-standard/bids-matlab/,  Matlab library centralizing interactions with datasets conforming BIDS,General,Yes,https://doi.org/10.5281/zenodo.5910585
4,1,Research Data Management,Data standard: BIDS,Interaction with BIDS datasets,rbids,https://rdrr.io/github/mathesong/rbids/,  R Package To Access BIDS Datasets ,General,No,
4,1,Research Data Management,Data standard: BIDS,Interaction with BIDS datasets,ancpBIDS,https://github.com/ANCPLabOldenburg/ancp-bids,  Lightweight python library with schema support centralizing interactions with datasets conforming BIDS.,General,,
4,1,Research Data Management,Data standard: BIDS,Interaction with BIDS datasets,BIDS apps,https://bids-apps.neuroimaging.io/,  Container images capturing neuroimaging pipelines for BIDS formatted datasets,General,Yes,
4,1,Research Data Management,Data standard: BIDS,Interaction with the BIDS community,BIDS email discussion list,https://groups.google.com/g/bids-discussion,  Email list for discussion of issues and BIDS extensions,General,Yes,
4,1,Research Data Management,Data standard: BIDS,Interaction with the BIDS community,Neurostars: BIDS tag,https://neurostars.org/,"  Question&Answer forum for neuroscience researchers, infrastructure providers and software developers",General,Yes,
4,1,Research Data Management,Data standard: BIDS,Interaction with the BIDS community,Brainhack Mattermost: BIDS channel,https://mattermost.brainhack.org/,  Communication channel part of the Brainhack project,General,Yes,
4,2,Research Data Management,Metadata and data annotation,n/a,Hierarchical Event Descriptor (HED),https://www.hedtags.org/,  Framework for systematically describing events using a controlled but extensible vocabulary,General,Yes,
4,2,Research Data Management,Metadata and data annotation,n/a,InterLex,https://neuinfo.org/interlex/dashboard,  Project to define mapping between different data terminologies,General,Yes,
4,2,Research Data Management,Metadata and data annotation,n/a,The Cognitive Atlas,http://www.cognitiveatlas.org,  Knowledge base (or ontology) that characterizes the state of current thought in cognitive science,General,Yes,https://doi.org/10.3389/fninf.2011.00017
4,2,Research Data Management,Metadata and data annotation,n/a,The Cognitive Paradigm Ontology (CogPO),http://www.cogpo.org/,  Linked ontology about the structure and function of the brain,General,No,
4,2,Research Data Management,Metadata and data annotation,n/a,PROV vocabulary,https://www.w3.org/ns/prov,  Enable the interoperable interchange of provenance information in heterogeneous environments ,General,Yes,
4,2,Research Data Management,Metadata and data annotation,n/a,The Neuroimaging Data Modeling (NIDM),http://nidm.nidash.org/,  Collection of specifications for experiment description and results of neuroimaging analysis,MRI,Yes,
4,2,Research Data Management,Metadata and data annotation,n/a,NIDM-Terms,https://nidm-terms.github.io/,  Collection of community-developed controlled vocabularies of publicly-available neuroimaging data,MRI,Yes,
4,2,Research Data Management,Metadata and data annotation,n/a,PyNIDM,https://github.com/incf-nidash/PyNIDM,  Python library to manipulate the NIDM,MRI,Yes,
4,3,Research Data Management,Data management and tracking,n/a,DMP Online,https://dmponline.dcc.ac.uk/,"  A resource to create, review, and share Data Management Plans.",General,,
4,3,Research Data Management,Data management and tracking,n/a,DataLad,datalad.org,  Managing and version controlling digital files,General,Yes,https://doi.org/10.5281/zenodo.6845396
4,3,Research Data Management,Data management and tracking,n/a,DataLad Handbook,http://handbook.datalad.org/en/latest/,  description why and how to use DataLad,General,Yes,https://doi.org/10.5281/zenodo.6463273
4,3,Research Data Management,Data management and tracking,n/a,Brainlife,https://brainlife.io,  Free cloud platform for secure neuroscience data analysis,General,Yes,
4,3,Research Data Management,Data management and tracking,n/a,XNAT,https://www.xnat.org,"  Platform for management, productivity and quality assurance of imaging and associated data",MRI,Yes,
5,1,Data processing and analysis,Software as a research instrument,General,Nibabel,https://nipy.org/nibabel/,  Read/write access to some common neuroimaging file formats (NiPy),General,Yes,
5,1,Data processing and analysis,Software as a research instrument,General,NiPype,https://nipype.readthedocs.io/en/latest/,  Interface to facilitate interaction between neuroimaging sw packages within a single workflow (NiPy),General,Yes,https://doi.org/10.5281/zenodo.6658382
5,1,Data processing and analysis,Software as a research instrument,General,The Good Research Code Handbook,https://goodresearch.dev/,  The Good Research Code Handbook by Patrick Mineaul,General,No,https://doi.org/10.5281/zenodo.6834519
5,1,Data processing and analysis,Software as a research instrument,General,Neuroimaging and data science Book,http://neuroimaging-data-science.org,  Jupyter book for a practical introduction to neuroimaging and data science by Ariel Rokem & Tal Yarkoni,General,No,https://doi.org/10.5281/zenodo.5796873
5,1,Data processing and analysis,Software as a research instrument,General,Python for the practicing neuroscientist,https://elifesciences.org/labs/f779833b,  Python for the practicing neuroscientist: an online educational resource,EEG,No,
5,1,Data processing and analysis,Software as a research instrument,Neuroimaging MRI,AFNI,https://afni.nimh.nih.gov/,"  Software for analysis and display of multiple MRI modalities (C, Python, R)",MRI,Yes,https://doi.org/10.1006/cbmr.1996.0014
5,1,Data processing and analysis,Software as a research instrument,Neuroimaging MRI,ANTs,http://stnava.github.io/ANTs/,  Advanced Normalization Tools for MRI analysis,MRI,Yes,
5,1,Data processing and analysis,Software as a research instrument,Neuroimaging MRI,Freesurfer,https://surfer.nmr.mgh.harvard.edu/,  Software suite for processing and analyzing (human) brain MRI images,MRI,Yes,
5,1,Data processing and analysis,Software as a research instrument,Neuroimaging MRI,FSL,https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/FSL,"  Library of analysis tools for FMRI, MRI and DTI brain imaging data (only free for academic use)",MRI,Yes,
5,1,Data processing and analysis,Software as a research instrument,Neuroimaging MRI,SPM,https://www.fil.ion.ucl.ac.uk/spm/,  Designed for the analysis of brain imaging data sequences (Matlab),"MRI,PET,M/EEG",Yes,
5,1,Data processing and analysis,Software as a research instrument,Neuroimaging MEG & EEG,Brainstorm,https://neuroimage.usc.edu/brainstorm/Introduction,  Analysis of brain recordings and  multiunit electrophysiology (Matlab),"M/EEG,iEEG,fNIRS",Yes,
5,1,Data processing and analysis,Software as a research instrument,Neuroimaging MEG & EEG,EEGLAB,https://sccn.ucsd.edu/eeglab/index.php,"  Processing continuous and event-related EEG, MEG and other electrophysiological data (Matlab)",EEG,Yes,
5,1,Data processing and analysis,Software as a research instrument,Neuroimaging MEG & EEG,Fieldtrip,https://www.fieldtriptoolbox.org/,"  Toolbox for MEG, EEG and iEEG analysis (Matlab)","M/EEG,iEEG,fNIRS",Yes,https://doi.org/10.1155/2011/156869
5,1,Data processing and analysis,Software as a research instrument,Neuroimaging MEG & EEG,MNE-Python,https://mne.tools/stable/index.html,"  Exploring, visualizing, and analyzing human neurophysiological data (Python)","M/EEG,iEEG,fNIRS",Yes,https://doi.org/10.5281/zenodo.6543060
5,1,Data processing and analysis,Software as a research instrument,Neuroimaging PET,PETSurfer,https://surfer.nmr.mgh.harvard.edu/fswiki/PetSurfer,"  Part of FreeSurfer, Coregisration with MRI, partial volume correction and kinetic modelling (RTM only)",PET,No,
5,1,Data processing and analysis,Software as a research instrument,Neuroimaging PET,Kinfitr,https://github.com/mathesong/kinfitr,"  PET Kinetic Modelling using R, kinfitr is a package for PET Kinetic Modelling Using R",PET,No,https://doi.org/10.1101/755751
5,1,Data processing and analysis,Software as a research instrument,Neuroimaging PET,PETPVE12,https://github.com/GGonEsc/petpve12,  An SPM toolbox for Partial Volume Effects correction of PET images,PET,No,https://doi.org/10.1016/j.neuroimage.2016.12.077
5,2,Data processing and analysis,Standardized preprocessing and workflows,n/a,NIpreps,https://github.com/nipreps,  Summary of neuroimaging preprocessing tools,MRI,Yes,
5,2,Data processing and analysis,Standardized preprocessing and workflows,n/a,fMRIprep,https://fmriprep.org/en/stable/,  Robust preprocessing pipeline for fMRI data,MRI,Yes,https://doi.org/10.1038/s41592-018-0235-4
